record_date,branch_name,total_patient_tally,item_name,beginning_stock,quantity_used,stock_received,ending_stock,animal_bite_cases,vaccinations_administered,minimum_stock_level
14/11/2025,Cainta,86,SPEEDA,50.0,13.4,161.2,197.8,48,50,70
14/11/2025,Cainta,86,ABHAYRAB,20.0,4.3,0.0,15.7,37,31,50
14/11/2025,Cainta,86,VAXIRAB,15.0,4.4,0.0,10.6,51,59,50
14/11/2025,Cainta,86,CHIRORAB,12.0,4.5,0.0,7.5,45,55,50
14/11/2025,Cainta,86,ERIG,45.0,3.4,0.0,41.6,25,31,50
14/11/2025,Cainta,86,HRIG,5.0,1.7,0.0,3.3,55,51,50
14/11/2025,Cainta,86,"ATS 1,500 ""IU""",10.0,1.7,0.0,8.3,48,63,50
14/11/2025,Cainta,86,"ATS 3000 ""IU""",8.0,1.7,11.9,18.2,49,59,50
14/11/2025,Cainta,86,"ATS 5,000 ""IU""",8.0,1.7,0.0,6.3,26,22,50
14/11/2025,Cainta,86,HTIG,6.0,0.9,0.0,5.1,37,39,50
14/11/2025,Cainta,86,TOXOID BETT,400.0,8.4,0.0,391.6,34,43,50
14/11/2025,Cainta,86,TOXOID ABHAYTOX,35.0,1.7,0.0,33.3,53,52,50
14/11/2025,Cainta,86,PPD,2.0,0.4,0.0,1.6,44,45,50
14/11/2025,Cainta,86,HEPA B,25.0,1.7,0.0,23.3,50,59,50
14/11/2025,Cainta,86,HEPA BIG,45.0,1.7,0.0,43.3,37,31,50
14/11/2025,Cainta,86,FLU,8.0,0.9,0.0,7.1,29,40,50
14/11/2025,Cainta,86,AMOXICILLIN 500MG,200.0,22.2,0.0,177.8,41,37,140
14/11/2025,Cainta,86,CEFALEXIN 500 MG,180.0,17.7,0.0,162.3,24,20,100
14/11/2025,Cainta,86,MEFENAMIC 500 MG,170.0,19.3,0.0,150.7,50,40,120
14/11/2025,Cainta,86,INSULIN,1100.0,20.9,0.0,1079.1,43,45,150
14/11/2025,Cainta,86,1CC/3CC,150.0,9.3,0.0,140.7,48,64,50
14/11/2025,Cainta,86,5CC/10CC,550.0,8.5,0.0,541.5,34,44,50
14/11/2025,Cainta,86,CETIRIZINE,650.0,17.3,0.0,632.7,55,74,100
14/11/2025,Cainta,86,G23,350.0,4.1,0.0,345.9,52,58,50
14/11/2025,Cainta,86,G27,350.0,4.2,0.0,345.8,48,51,50
14/11/2025,Cainta,86,GAUZE PAD,30.0,8.6,0.0,21.4,28,29,50
14/11/2025,Cainta,86,COTTON BALLS,2000.0,34.2,0.0,1965.8,38,31,240
14/11/2025,Cainta,86,BETADINE,1.0,0.4,0.0,0.6,23,31,50
14/11/2025,Cainta,86,ALCOHOL,1.0,0.4,0.0,0.6,27,30,50
14/11/2025,Cainta,86,FACEMASK,200.0,16.7,0.0,183.3,45,48,100
14/11/2025,Cainta,86,GLOVES,200.0,16.2,188.3,372.1,47,52,100
14/11/2025,Cainta,86,MICROPRE,50.0,4.5,21.7,67.2,55,70,50
14/11/2025,Cainta,86,STERILE WATER,20.0,2.6,0.0,17.4,33,31,50
14/11/2025,Cainta,86,REF THERMOMETER,5.0,0.9,0.0,4.1,34,42,50
14/11/2025,Cainta,86,ACRYLIC CONTAINERS,15.0,1.7,0.0,13.3,38,47,50
14/11/2025,Cainta,86,COOLER,3.0,0.4,0.0,2.6,28,37,50
14/11/2025,Cainta,86,KIDNEY BASIN,10.0,1.7,0.0,8.3,26,21,50
14/11/2025,Cainta,86,WEIGHING SCALE,2.0,0.4,0.0,1.6,38,34,50
14/11/2025,Cainta,86,FORCEPS,15.0,1.7,0.0,13.3,29,31,50
14/11/2025,Cainta,86,BETADINE CONTAINER,4.0,0.9,0.0,3.1,45,59,50
14/11/2025,Cainta,86,ALCOHOL PUMP CONTAINER,4.0,0.9,0.0,3.1,37,51,50
15/11/2025,Cainta,17,SPEEDA,197.8,2.6,0.0,195.2,10,12,70
15/11/2025,Cainta,17,ABHAYRAB,15.7,0.8,0.0,14.9,9,8,50
15/11/2025,Cainta,17,VAXIRAB,10.6,0.8,0.0,9.8,6,5,50
15/11/2025,Cainta,17,CHIRORAB,7.5,0.8,0.0,6.7,10,12,50
15/11/2025,Cainta,17,ERIG,41.6,0.7,0.0,40.9,10,9,50
15/11/2025,Cainta,17,HRIG,3.3,0.3,0.0,3.0,7,8,50
15/11/2025,Cainta,17,"ATS 1,500 ""IU""",8.3,0.3,0.0,8.0,6,8,50
15/11/2025,Cainta,17,"ATS 3000 ""IU""",18.2,0.3,0.0,17.9,9,9,50
15/11/2025,Cainta,17,"ATS 5,000 ""IU""",6.3,0.3,0.0,6.0,5,5,50
15/11/2025,Cainta,17,HTIG,5.1,0.2,0.0,4.9,6,5,50
15/11/2025,Cainta,17,TOXOID BETT,391.6,1.7,0.0,389.9,4,4,50
15/11/2025,Cainta,17,TOXOID ABHAYTOX,33.3,0.3,0.0,33.0,10,12,50
15/11/2025,Cainta,17,PPD,1.6,0.1,0.0,1.5,9,9,50
15/11/2025,Cainta,17,HEPA B,23.3,0.3,0.0,23.0,9,8,50
15/11/2025,Cainta,17,HEPA BIG,43.3,0.3,0.0,43.0,10,9,50
15/11/2025,Cainta,17,FLU,7.1,0.2,0.0,6.9,7,6,50
15/11/2025,Cainta,17,AMOXICILLIN 500MG,177.8,4.9,0.0,172.9,8,10,140
15/11/2025,Cainta,17,CEFALEXIN 500 MG,162.3,3.5,0.0,158.8,5,6,100
15/11/2025,Cainta,17,MEFENAMIC 500 MG,150.7,4.8,0.0,145.9,5,6,120
15/11/2025,Cainta,17,INSULIN,1079.1,4.7,173.3,1247.7,9,10,150
15/11/2025,Cainta,17,1CC/3CC,140.7,1.7,0.0,139.0,7,6,50
15/11/2025,Cainta,17,5CC/10CC,541.5,1.6,0.0,539.9,8,9,50
15/11/2025,Cainta,17,CETIRIZINE,632.7,3.0,282.6,912.3,9,8,100
15/11/2025,Cainta,17,G23,345.9,0.9,0.0,345.0,9,12,50
15/11/2025,Cainta,17,G27,345.8,0.9,0.0,344.9,8,7,50
15/11/2025,Cainta,17,GAUZE PAD,21.4,1.7,0.0,19.7,8,8,50
15/11/2025,Cainta,17,COTTON BALLS,1965.8,10.4,0.0,1955.4,6,5,240
15/11/2025,Cainta,17,BETADINE,0.6,0.1,0.0,0.5,4,5,50
15/11/2025,Cainta,17,ALCOHOL,0.6,0.1,0.0,0.5,7,6,50
15/11/2025,Cainta,17,FACEMASK,183.3,3.5,70.9,250.7,6,8,100
15/11/2025,Cainta,17,GLOVES,372.1,4.0,0.0,368.1,7,6,100
15/11/2025,Cainta,17,MICROPRE,67.2,0.8,0.0,66.4,10,13,50
15/11/2025,Cainta,17,STERILE WATER,17.4,0.5,0.0,16.9,6,7,50
15/11/2025,Cainta,17,REF THERMOMETER,4.1,0.2,0.0,3.9,5,5,50
15/11/2025,Cainta,17,ACRYLIC CONTAINERS,13.3,0.3,0.0,13.0,6,6,50
15/11/2025,Cainta,17,COOLER,2.6,0.1,0.0,2.5,6,6,50
15/11/2025,Cainta,17,KIDNEY BASIN,8.3,0.3,0.0,8.0,9,12,50
15/11/2025,Cainta,17,WEIGHING SCALE,1.6,0.1,0.0,1.5,8,11,50
